1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
stephanie37@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,AI teaching assistant that adapts to learning styles,Maybe,Develop Time-series analysis to predict dropout risk in Language learning for personalized learning paths
wests@gmail.com,Postgraduate,Engineering,Very familiar,"Grammarly, Turnitin","Grammarly, Turnitin",3,None,NLP-powered plagiarism detection system,Maybe,Develop Time-series analysis to predict dropout risk in Language learning for personalized learning paths
roberta.richardson@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",2,None,Automated clinical skills problem generator,Maybe,LSTM networks-based system for adaptive testing focusing on course difficulty in Business courses
brandon40@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"None, Privacy concerns",reinforcement learning-powered plagiarism detection system,Yes,Implement real-time skill mastery prediction in Business courses courses with Time-series analysis
andrea20@gmail.com,Undergraduate,Engineering,Somewhat familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",3,None,Automated clinical skills problem generator,Yes,Develop Graph Neural Networks to predict student performance in Language learning for adaptive testing
sarah.bridges@gmail.com,Undergraduate,Engineering,Somewhat familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",2,Limited awareness of available AI tools,AI teaching assistant that visualizes learning styles,Yes,Develop Random Forests to predict engagement levels in Clinical skills for resource recommendation
shelly.woods@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,knowledge graphs-powered plagiarism detection system,Maybe,Faculty training program on AI ethics
hickman_j@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,"Technical issues with tools/platforms, None",knowledge graphs-powered code debugging system,Yes,Establish cross-department AI innovation fund
lovej@gmail.com,Undergraduate,Education,Somewhat familiar,Grammarly,Grammarly,2,"None, Lack of training on how to use AI tools",AI teaching assistant that visualizes knowledge gaps,Yes,Develop Graph Neural Networks to predict student performance in Programming for resource recommendation
ryan.richardson@gmail.com,Undergraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,2,Lack of access to devices or internet,reinforcement learning-powered concept visualization system,No,Implement real-time knowledge retention prediction in Clinical skills courses with Random Forests
lowe_c@gmail.com,Postgraduate,Health Sciences,Very familiar,"Grammarly, Microsoft Copilot, ChatGPT","Grammarly, Microsoft Copilot, ChatGPT",3,None,Personalized math learning coach,Maybe,Develop Random Forests to predict skill mastery in Language learning for adaptive testing
williams_s@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,NLP-powered automated grading system,Maybe,Create Business courses-specific model using Time-series analysis that enables resource recommendation
butlerc@gmail.com,Postgraduate,Education,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,computer vision-powered writing assistance system,No,Time-series analysis-based system for tutor matching focusing on course difficulty in Clinical skills
patrick.mcclure@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,knowledge graphs-powered writing assistance system,Yes,Develop LSTM networks to predict learning gaps in Language learning for resource recommendation
danielle28@gmail.com,Undergraduate,Business,Very familiar,"Microsoft Copilot, Turnitin, Grammarly, GitHub Copilot","Microsoft Copilot, Turnitin, Grammarly, GitHub Copilot",5,None,reinforcement learning-powered code debugging system,Maybe,Random Forests-based system for early warning systems focusing on course difficulty in Programming
harrisc@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",3,Lack of training on how to use AI tools,Personalized clinical skills learning coach,Yes,Create Engineering fundamentals-specific model using Graph Neural Networks that enables resource recommendation
brownd@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,"Privacy concerns, None",AI teaching assistant that visualizes learning styles,Yes,Develop Random Forests to predict learning gaps in Business courses for early warning systems
colleen47@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,computer vision-powered concept visualization system,Yes,Create Language learning-specific model using Random Forests that enables early warning systems
regina.house@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"Lack of access to devices or internet, Technical issues with tools/platforms",reinforcement learning-powered plagiarism detection system,Yes,Implement real-time knowledge retention prediction in Clinical skills courses with Bayesian networks
zachary.gonzalez@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,None,computer vision-powered code debugging system,No,Time-series analysis-based system for curriculum optimization focusing on knowledge retention in Business courses
virginia96@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Grammarly, GitHub Copilot","Grammarly, GitHub Copilot",3,Privacy concerns,AI teaching assistant that visualizes learning styles,Yes,Develop Bayesian networks to predict skill mastery in Mathematics for curriculum optimization
edwardsd@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",2,Cost of implementation,Automated clinical skills problem generator,Yes,Ensemble methods-based system for tutor matching focusing on student performance in Programming
wallerc@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,"Lack of access to devices or internet, Cost of implementation",Real-time math error detection,Yes,Create Clinical skills-specific model using Bayesian networks that enables tutor matching
herring_s@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"Lack of training on how to use AI tools, Technical issues with tools/platforms",Personalized programming learning coach,Yes,Student training program on prompt engineering
ashley95@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,Automated math problem generator,Maybe,Random Forests-based system for early warning systems focusing on course difficulty in Programming
carol52@gmail.com,Other,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,"Technical issues with tools/platforms, Cost of implementation",Real-time programming error detection,Yes,Develop AI use policy addressing {issue}
ricky.richardson@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",2,None,predictive analytics-powered concept visualization system,Yes,Create Language learning-specific model using Random Forests that enables resource recommendation
justin.ruiz@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",2,Integration with existing systems,computer vision-powered code debugging system,Yes,Develop Ensemble methods to predict student performance in Clinical skills for tutor matching
hoffmans@gmail.com,Postgraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,2,None,AI teaching assistant that predicts cognitive load,Yes,Develop Graph Neural Networks to predict student performance in Programming for resource recommendation
tracey75@gmail.com,Postgraduate,Business,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",2,None,AI teaching assistant that visualizes knowledge gaps,Yes,LSTM networks-based system for early warning systems focusing on engagement levels in Mathematics
crystal.fry@gmail.com,Undergraduate,Business,Somewhat familiar,"ChatGPT, GitHub Copilot","ChatGPT, GitHub Copilot",2,None,AI teaching assistant that predicts knowledge gaps,Maybe,Develop LSTM networks to predict learning gaps in Language learning for resource recommendation
carolyn.meyer@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",3,None,knowledge graphs-powered concept visualization system,Yes,Implement real-time knowledge retention prediction in Clinical skills courses with Bayesian networks
pearsonc@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Real-time clinical skills error detection,No,Create Language learning-specific model using Ensemble methods that enables curriculum optimization
johnsm@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,"None, Integration with existing systems",computer vision-powered code debugging system,Maybe,Develop LSTM networks to predict learning gaps in Language learning for resource recommendation
joshua.richards@gmail.com,Postgraduate,Education,Very familiar,"GitHub Copilot, Microsoft Copilot, ChatGPT, IBM Watson","GitHub Copilot, Microsoft Copilot, ChatGPT, IBM Watson",4,None,Personalized languages learning coach,Yes,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
alexandra95@gmail.com,Postgraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,Cost of implementation,knowledge graphs-powered plagiarism detection system,Yes,Implement real-time dropout risk prediction in Engineering fundamentals courses with Transformer models
jeffrey.boyle@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,None,NLP-powered plagiarism detection system,No,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
caleb.williams@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,3,None,Personalized clinical skills learning coach,Yes,Create Mathematics-specific model using Graph Neural Networks that enables personalized learning paths
keith.bradford@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,knowledge graphs-powered writing assistance system,Maybe,Develop Random Forests to predict engagement levels in Mathematics for personalized learning paths
james.brooks@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"GitHub Copilot, Turnitin","GitHub Copilot, Turnitin",2,None,reinforcement learning-powered writing assistance system,Yes,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
lydia18@gmail.com,Postgraduate,Engineering,Very familiar,"GitHub Copilot, Turnitin","GitHub Copilot, Turnitin",3,None,predictive analytics-powered plagiarism detection system,Yes,Create Business courses-specific model using Graph Neural Networks that enables adaptive testing
